,Time [s],aYMPS2 [m/s^2],Polynomial [m/s^2],Kalman1 [m/s^2],Kalman2 [m/s^2]
24,0.0413333333333333,-19.358308480636552,-128.46270199348945,61.36339717287379,-386.34678661148087
25,0.0446666666666666,-63.982300922888754,-128.34483118539953,-38.25612232155405,-374.4108764192683
26,0.0453333333333333,-27.830069729839753,-128.22259813021068,-169.57551640180486,-365.2688234065231
27,0.046,3.6654883608941193,-128.09603695129826,-350.9371935923768,-359.1637191768681
28,0.0466666666666666,32.886081721813554,-127.96518165447216,-591.0475787513723,-356.32407781505293
29,0.0473333333333333,-2464.676038946854,-127.83006612814465,-868.8002028654272,-356.98732788906955
30,0.048,82.64845461437667,-127.6907241434981,-851.7811833664063,-338.6813795635661
31,0.0486666666666666,-2430.3959259852177,-127.54718935465272,-842.1757183559992,-324.16739974566417
32,0.0493333333333333,87.47152278083115,-127.39949529883437,-543.4305101705958,-290.69736319160626
33,0.0499999999999999,79.55900006310952,-127.24767539654226,-291.99149052857285,-260.6308466113003
34,0.0506666666666666,70.66483117086872,-127.09176295171679,-113.36700955912562,-233.62603865106408
35,0.0513333333333333,67.22091694503911,-126.93179115190723,-3.09365758208628,-209.35984851922518
36,0.052,63.85911019882891,-126.76779306843954,54.31502078983013,-187.58288527656467
37,0.0526666666666666,55.23103615850033,-126.59980165658413,76.08226028814697,-168.06889999318267
38,0.0533333333333333,48.14918170758565,-126.42784975572354,77.34818742733951,-150.56461413516584
39,0.054,39.28580749755848,-126.25197008952033,68.96305311406431,-134.84875243973377
40,0.0546666666666666,36.827917301328256,-126.07219526608472,58.07025351366718,-120.70010178373735
41,0.0553333333333333,36.61053458125119,-125.88855777814244,47.95414529975137,-107.96920329950649
42,0.056,31.052610526704566,-125.70109000320247,39.62846991571907,-96.53952245620246
43,0.0566666666666666,28.39081631015851,-125.50982420372473,33.6857051495578,-86.2581708097446
44,0.0573333333333333,31.56986629447049,-125.31479252728796,29.80942092834064,-77.00866004736585
45,0.0579999999999999,27.66386764340096,-125.11602700675739,26.776261929609362,-68.73635602206363
46,0.0586666666666666,25.31300798420966,-124.91355956045254,24.331734753305454,-61.331654009750594
47,0.0593333333333333,23.515931256098327,-124.70742199231498,22.21345585380449,-54.70675395538319
48,0.06,20.216860313049974,-124.49764599207606,20.23441554314475,-48.78585806791914
49,0.0606666666666666,18.20551512923152,-124.28426313542474,18.50197495397172,-43.485986645883806
50,0.0613333333333333,16.75731971455979,-124.06730488417526,17.0176270921471,-38.7413387398245
51,0.062,17.134014592528192,-123.84680258643499,15.721713276878734,-34.49617875985466
52,0.0626666666666666,12.964861179751704,-123.62278747677212,14.364898465007343,-30.715690520056263
53,0.0633333333333333,12.848147707856306,-123.39529067638345,13.287572474352782,-27.32832724555614
54,0.064,13.73338579104242,-123.1643431932622,12.312826282242922,-24.302552245636736
55,0.0646666666666666,10.657032277480548,-122.92997592236567,11.129871213702295,-21.619100688047435
56,0.0653333333333333,12.168710505879613,-122.69221964578308,9.945312816667112,-19.226134327147886
57,0.066,6.4544042547252545,-122.45110503290331,8.459509238405857,-17.115721569745585
58,0.0666666666666666,8.464161332771598,-122.20666264058264,7.287632324941003,-15.217439944763523
59,0.0673333333333333,5.273278157355374,-121.95892291331255,6.103329757486529,-13.532292731279279
60,0.0679999999999999,3.9810380900138718,-121.70791618338744,5.2167235779867696,-12.016395655792746
61,0.0686666666666666,5.106881112355056,-121.45367267107244,4.6948359963609425,-10.644475484018473
62,0.0693333333333333,4.458940628306974,-121.19622248477113,4.275784224550099,-9.414317521611562
63,0.0699999999999999,4.621751871470675,-120.93559562119329,3.926551917715129,-8.309018882553914
64,0.0706666666666666,3.9037366385889904,-120.67182196552274,3.558345145169016,-7.32009718028249
65,0.0713333333333333,0.4316427277156652,-120.40493129158499,3.238075172633725,-6.43218998238091
66,0.072,4.68876010842655,-120.1349532620151,3.3473939629734644,-5.606057278870198
67,0.0726666666666666,5.980293134043823,-119.86191742842539,3.2573479816897164,-4.8725779318451545
68,0.0733333333333333,1.6418564424076136,-119.5858532315732,2.749742267176284,-4.236774424413114
