,Time [s],Net Acceleration [m/s^2],Thrust Force [N]
35,0.0513333333333333,67.22091694503911,-755.9624086832667
36,0.052,63.85911019882891,-739.4660983413346
37,0.0526666666666666,55.23103615850033,-729.9003443528056
38,0.0533333333333333,48.14918170758565,-726.327264631669
39,0.054,39.28580749755848,-728.6077244852463
40,0.0546666666666666,36.827917301328256,-281.68904475155085
41,0.0553333333333333,36.61053458125119,-293.54944903351793
42,0.056,31.052610526704566,147.0059402704764
43,0.0566666666666666,28.39081631015851,133.59474118228212
44,0.0573333333333333,31.56986629447049,121.58678775833653
45,0.0579999999999999,27.66386764340096,111.33912758996779
46,0.0586666666666666,25.31300798420966,101.15762834980724
47,0.0593333333333333,23.515931256098327,91.85335640507637
48,0.06,20.216860313049974,83.07356266239687
49,0.0606666666666666,18.20551512923152,75.93025899493034
50,0.0613333333333333,16.75731971455979,69.80800371369378
51,0.062,17.134014592528192,63.895565455657184
52,0.0626666666666666,12.964861179751704,58.22490783125589
53,0.0633333333333333,12.848147707856306,53.43804724954431
54,0.064,13.73338579104242,49.1596156505805
55,0.0646666666666666,10.657032277480548,44.17971231252183
56,0.0653333333333333,12.168710505879613,39.277911827698475
57,0.066,6.4544042547252545,35.56554721005751
58,0.0666666666666666,8.464161332771598,32.4091323480877
59,0.0673333333333333,5.273278157355374,29.06563165137208
60,0.0679999999999999,3.9810380900138718,26.06049018047321
61,0.0686666666666666,5.106881112355056,23.35301260603128
62,0.0693333333333333,4.458940628306974,20.796992156065354
63,0.0699999999999999,4.621751871470675,18.709625849920872
64,0.0706666666666666,3.9037366385889904,17.07526380666631
65,0.0713333333333333,0.4316427277156652,14.904591027105386
66,0.072,4.68876010842655,13.786522797919153
67,0.0726666666666666,5.980293134043823,11.842292155005467
68,0.0733333333333333,1.6418564424076136,11.184059223646068
69,0.074,1.5102847353489186,9.917079634692303
70,0.0746666666666666,1.7157776343268598,9.580249346827841
71,0.0753333333333333,2.9339009816063495,9.38806050824779
72,0.076,1.3683817011712764,8.958593638263979
73,0.0766666666666666,3.7683585786642944,8.462461507489655
74,0.0773333333333333,1.6740925712595163,8.06407015769994
75,0.078,4.445542115334808,7.921775064025783
76,0.0786666666666666,1.3674291563591174,8.215654543989194
77,0.0793333333333333,2.797554636061934,7.269534090239793
78,0.08,1.4253858385840177,6.625930092851119
79,0.0806666666666666,3.401998780330579,6.877207764565321
80,0.0813333333333333,2.9133223201246956,7.075786937224432
81,0.082,2.720954056889447,7.166779239192116
82,0.0826666666666666,1.702651012894058,7.130377974686035
83,0.0833333333333333,2.4084665948611392,7.287099576561639
84,0.0839999999999999,3.1132083403992388,6.910552577697987
85,0.0846666666666666,2.064306505290171,6.705561173952052
86,0.0853333333333333,-0.567464634625681,5.965638146291093
87,0.086,2.4047153707734203,5.97083081519317
88,0.0866666666666666,3.0378435074865067,6.079399360704882
