,tCont,vYSmooth
628,0.448666667,-6.755286499
629,0.449333333,-4.0964729
630,0.45,-1.570900205
631,0.450666667,0.9001874
632,0.451333333,3.317577525
633,0.452,5.737299493
634,0.452666667,8.074457731
635,0.453333333,10.42080115
636,0.454,12.80681824
637,0.454666667,-20.09050866
638,0.456,-17.91504463
639,0.456666667,-15.86008557
640,0.457333333,-14.03623337
641,0.458,-12.38861145
642,0.458666667,-10.87344599
643,0.459333333,-9.606202065
644,0.46,-8.466612278
645,0.461333333,-7.435751613
646,0.462,-6.502529868
647,0.462666667,-5.653431617
648,0.463333333,-4.855548703
649,0.464,-4.153442158
650,0.464666667,-3.53067165
651,0.465333333,-2.971014259
652,0.466,-2.457152963
653,0.466666667,-1.981665783
654,0.467333333,-1.568336836
655,0.468,-1.158096163
656,0.468666667,-0.791723486
657,0.469333333,-0.477488734
658,0.47,0.033386281
659,0.470666667,0.519656976
660,0.471333333,0.975142611
661,0.472,1.381459998
662,0.472666667,1.727621081
663,0.473333333,2.046223698
664,0.474,2.341571049
665,0.474666667,2.570444001
666,0.475333333,2.830325757
667,0.476,3.055587317
668,0.476666667,3.268394057
669,0.477333333,3.437293809
670,0.478,3.588637147
671,0.478666667,3.728059704
672,0.479333333,3.856958171
673,0.48,3.977810171
674,0.480666667,4.114020394
675,0.481333333,4.237359371
676,0.482,4.353872841
677,0.482666667,4.487808185
678,0.483333333,4.552734446
679,0.484,4.645601852
680,0.484666667,4.712902941
681,0.485333333,4.762074338
682,0.486,4.822679495
683,0.486666667,4.898672559
684,0.487333333,4.963643536
685,0.488,5.045010968
686,0.488666667,5.101528457
687,0.489333333,5.146140167
688,0.49,5.242904835
689,0.490666667,5.336758896
690,0.491333333,5.413709562
691,0.492,5.527762276
692,0.492666667,5.629620417
693,0.493333333,5.703785569
694,0.494,5.820295145
695,0.494666667,5.915425664
696,0.495333333,5.934838704
697,0.496,6.018749481
698,0.496666667,6.114167882
699,0.497333333,6.249799967
700,0.498,6.38153645
701,0.498666667,6.547879616
702,0.499333333,6.742390935
703,0.5,6.947564724
704,0.500666667,7.269032175
705,0.501333333,7.578014033
706,0.502,7.907273513
707,0.502666667,8.284442264
708,0.503333333,8.744947809
709,0.504,9.227432918
710,0.504666667,9.760979218
711,0.505333333,10.29287652
712,0.506,10.96524299
713,0.506666667,11.74546873
714,0.507333333,12.61421154
715,0.508,13.5427133
716,0.508666667,14.57218782
717,0.509333333,15.66269888
718,0.51,16.84928681
719,0.510666667,18.15171515
720,0.511333333,19.61433332
721,0.512,21.20113042
722,0.512666667,22.92832
723,0.513333333,24.8504965
724,0.514,26.95671695
725,0.514666667,29.28403148
726,0.515333333,31.79239418
727,0.516,34.56902062
728,0.516666667,37.57112168
729,0.517333333,41.04333597
