,,Explanatory Variables,,,,,,,,Response Variable,Repeat Tests,,,,
,id,Mass [g],Area [mm^2],Loading [mg/A],Span [b],Chord [c],aspect,Aspect Ratio = b^2/A,Aspect Ratio = b/c,Transition Time t [s],1,2,3,,When t = -1 seed does NOT transition
82,83,0.6,1569.929064,382.2058039,72.91298086,27.67511778,56.72709604,3.386333115,2.634604175,0.476,,,,,
83,84,0.6,1537.357487,390.3034948,72.27513307,27.2749938,56.36509025,3.397840062,2.649867993,0.466,,,,,
84,85,0.3,776.6907232,386.2773058,52.03915895,19.51908758,39.79134373,3.486682644,2.666065139,0.453,,,,,
85,86,0.6,1476.717799,406.3308511,73.58573119,26.43602867,55.86004681,3.666820999,2.783539544,-1,0.411,-1,0.514,,
86,87,0.5,1108.690399,451.0095881,58.80210951,26.1464294,42.40312822,3.118713833,2.248953714,0.406,0.377,0.434,0.337,,
87,88,0.4,1005.948543,397.6585112,60.63588262,20.46459171,49.1555638,3.654968524,2.962965667,0.48,,,,,
88,89,0.5,1235.62529,404.6776996,67.75159467,23.31889231,52.98816402,3.714943856,2.90543795,0.53,,,,,
89,90,0.4,1223.476406,326.9568567,63.86642082,26.15230061,46.78274482,3.333876884,2.442095698,0.439,,,,,
90,91,0.6,989.08673,606.6566074,68.92603936,19.02712794,51.98297573,4.803217713,3.622514106,0.431,,,,,
91,92,0.3,928.9707004,322.9574408,59.67359762,19.81942716,46.87172303,3.833208358,3.010863893,0.553,,,,,
92,93,0.4,835.4452398,478.8153441,60.07517238,20.39180824,40.96964967,4.319883775,2.946044396,-1,0.492,-1,-1,,
93,94,0.5,1324.752017,377.4517748,63.37140948,26.83017669,49.37544886,3.031462107,2.361945291,0.449,,,,,
94,95,0.7,908.9669345,770.1512271,50.24489386,25.34697404,35.86096443,2.777383052,1.982283715,0.517,,,,,
95,96,0.2,788.8396072,253.5521774,49.36182743,21.24100042,37.13759199,3.088828179,2.323893718,-1,-1,0.54,-1,,
96,97,0.3,1100.311858,272.6663335,58.74276541,25.80899277,42.63288643,3.13612224,2.276058037,0.47,,,,,
97,98,0.2,741.8150475,269.6251588,47.66604436,20.56988767,36.063155,3.062827847,2.317272954,-1,,,,,
98,99,0.3,1108.585667,270.6313179,56.95376922,25.54001694,43.40583129,2.926009172,2.229981654,-1,-1,0.466,-1,,
99,100,0.3,634.2555312,473.0238606,50.2812175,16.18131904,39.1967756,3.986091897,3.107362099,-1,-1,-1,-1,,
